INVOICE_NO,CHIPSET / ASP,CPU / MPU,DISCRETE,LINEAR IC,LOGIC IC,MEMORY_EMBEDED,MEMORY_SYSTEM,OPTICAL AND SENSOR,OTHERS,PEMCO
216071053,0.0,0.0,0.0,11500.0,78000.0,0.0,0.0,0.0,0.0,0.0
216071066,0.0,0.0,65000.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0
216071070,0.0,0.0,0.0,62500.0,75000.0,0.0,0.0,0.0,0.0,0.0
216071071,0.0,0.0,43000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0
216071075,0.0,0.0,30000.0,42500.0,0.0,0.0,0.0,0.0,0.0,0.0
216071076,0.0,0.0,0.0,12500.0,10000.0,0.0,0.0,0.0,0.0,0.0
216071077,0.0,0.0,66000.0,12000.0,5000.0,0.0,0.0,0.0,0.0,0.0
216071080,0.0,0.0,0.0,9000.0,10000.0,0.0,0.0,0.0,0.0,0.0
216071081,0.0,0.0,1500.0,6142.0,0.0,10520.0,0.0,0.0,0.0,0.0
216071082,0.0,0.0,0.0,60000.0,45000.0,0.0,0.0,0.0,0.0,0.0
216071083,0.0,0.0,10000.0,43500.0,0.0,0.0,0.0,0.0,0.0,0.0
216071084,0.0,0.0,1607000.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0
216071086,0.0,0.0,0.0,87000.0,12000.0,0.0,0.0,0.0,0.0,0.0
216071100,0.0,0.0,3000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071103,0.0,0.0,54000.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071105,0.0,0.0,35600.0,53500.0,15500.0,0.0,0.0,0.0,0.0,0.0
216071119,0.0,0.0,297000.0,0.0,95500.0,0.0,0.0,0.0,0.0,0.0
216071121,0.0,0.0,185000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071127,0.0,0.0,2160.0,0.0,3000.0,8516.0,0.0,0.0,0.0,0.0
216071134,0.0,0.0,659500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071141,0.0,0.0,0.0,54800.0,32000.0,0.0,0.0,0.0,0.0,0.0
216071147,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,54000.0,0.0
216071153,15020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071159,0.0,0.0,7500.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0
216071173,0.0,0.0,0.0,41000.0,3000.0,0.0,0.0,0.0,0.0,0.0
216071177,0.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,255000.0,0.0
216071199,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
